Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of the Dunes	100	0	1	33	0	25			0	1	1041	abs-cold	0	4	5		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of the Sirocco	100	0	1	46	0	38			0	1	1042	abs-cold	0	6	8		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Desire	100	0	1	23	0	17			0	1	1043	abs-cold	0	1	2		0	0	0		0	0	0			jewl	ncha	ocha	wcha	    	    	    	    	    	    	0	0	0
of Piercing	1	1	1	25	0	18			0	1	1044	ignore-ac	0	1	1		0	0	0		0	0	0			rod 	knif	h2h 	mboq	mxbq	    	    	    	    	    	0	0	0
of Bashing	100	0	1	16	0	12			0	1	1045	dmg-ac	0	-25	-40		0	0	0		0	0	0			blun	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Puncturing	100	0	1	6	0	4			0	1	1046	dmg-ac	0	-10	-20		0	0	0		0	0	0			spea	knif	h2h 	mboq	mxbq	    	    	    	    	    	0	0	0
of Thorns	1	1	1	1	14	1			0	3	1047	thorns	0	3	10		0	0	0		0	0	0			tors	belt	shld	boot	    	    	    	    	    	    	0	0	0
of Thorns	1	1	1	12	49	9			0	1	1048	thorns	0	10	30		0	0	0		0	0	0			tors	shld	belt	circ	    	    	    	    	    	    	0	0	0
of Spikes	1	1	1	21	98	15			0	1	1049	thorns	0	30	60		0	0	0		0	0	0	1	oran	tors	shld	belt	circ	    	    	    	    	    	    	0	0	0
of Razors	100	1	1	36	0	27			0	1	1050	thorns	0	60	100		0	0	0		0	0	0	1	oran	tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Swords	100	1	1	50	0	40			0	1	1051	thorns	0	100	200		0	0	0		0	0	0	1	oran	tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Malice	100	1	1	37	0	29			0	1	1052	thorns	0	20	50		0	0	0		0	0	0			jewl	ncha	ocha	wcha	    	    	    	    	    	    	0	0	0
of Readiness	1	1	1	5	98	3			0	1	1053	swing1	0	10	10		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Alacrity	1	1	1	25	0	17			0	1	1054	swing2	0	20	20		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Swiftness	1	1	1	34	0	26			0	1	1055	swing2	0	30	30		0	0	0		0	0	0			mele	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Quickness	1	1	1	46	0	38			0	1	1056	swing3	0	40	40		0	0	0		0	0	0	1	dyel	mele	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Readiness	1	1	1	20	0	15			0	1	1057	swing1	0	10	10		0	0	0		0	0	0			glov	    	    	    	    	    	    	    	    	    	0	0	0
of Alacrity	100	1	1	43	0	35			0	1	1058	swing2	0	20	20		0	0	0		0	0	0	1	dyel	glov			    	    	    	    	    	    	    	0	0	0
of Fervor	100	1	1	39	0	31			0	1	1059	swing1	0	15	15		0	0	0		0	0	0			jewl			    	    	    	    	    	    	    	0	0	0
of Blocking	1	1	1	1	0	1			0	1	1060	block	0	10	10	block2	0	15	15		0	0	0			shld	    	    	    	    	    	    	    	    	    	0	0	0
of Deflecting	1	1	1	11	0	8			0	1	1061	block	0	20	20	block2	0	30	30		0	0	0			shld	    	    	    	    	    	    	    	    	    	0	0	0
of the Apprentice	1	1	1	5	0	3			0	1	1062	cast1	0	10	10		0	0	0		0	0	0			rod 	ring	amul	orb 	circ	    	    	    	    	    	0	0	0
of the Magus	1	1	1	29	0	21			0	1	1063	cast3	0	20	20		0	0	0		0	0	0			rod 	orb 	circ	    	    	    	    	scep	    	    	0	0	0
of Frost	1	1	1	4	49	3			0	1	1064	cold-min	0	1	1	cold-max	0	1	2	cold-len	0	50	50			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of the Icicle	100	1	1	13	98	9			0	1	1065	cold-min	0	1	1	cold-max	0	3	4	cold-len	0	75	75			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of the Glacier	1	1	1	27	0	20			0	1	1066	cold-min	0	2	4	cold-max	0	4	15	cold-len	0	100	100	1	dblu	weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Winter	100	1	1	45	0	37			0	1	1067	cold-min	0	5	9	cold-max	0	16	50	cold-len	0	150	150	1	dblu	mele	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Frost	1	1	1	55	0	41			0	1	1068	cold-min	0	1	1	cold-max	0	3	6	cold-len	0	50	50			belt	amul	mboq	mxbq	    	    	    	    	    	    	0	0	0
of Frigidity	100	1	1	16	0	12			0	1	1069	cold-min	0	1	1	cold-max	0	3	5	cold-len	0	50	50	1	dblu	jewl	mboq	mxbq	ncha	ocha	    	    	    	    	    	0	0	0
of the Icicle	100	1	1	37	0	29			0	1	1070	cold-min	0	2	3	cold-max	0	6	10	cold-len	0	50	50	1	dblu	jewl	mboq	mxbq	ncha	wcha	rcha	kcha	    	    	    	0	0	0
of the Glacier	100	1	1	58	0	50			0	1	1071	cold-min	0	4	5	cold-max	0	11	15	cold-len	0	50	50	1	dblu	jewl	mboq	mxbq	ncha	wcha	rcha	kcha	    	    	    	0	0	0
of Frost	100	1	1	5	49	3			0	1	1072	cold-min	0	1	1	cold-max	0	2	2	cold-len	0	25	25			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of the Icicle	100	1	1	8	98	6			0	1	1073	cold-min	0	2	2	cold-max	0	3	4	cold-len	0	25	25			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of the Glacier	100	1	1	15	0	11			0	1	1074	cold-min	0	3	3	cold-max	0	5	7	cold-len	0	25	25	1	dblu	lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Winter	100	1	1	23	0	17			0	1	1075	cold-min	0	4	6	cold-max	0	8	11	cold-len	0	25	25	1	dblu	lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Frost	100	1	1	9	49	6			0	1	1076	cold-min	0	1	1	cold-max	0	2	3	cold-len	0	25	25			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of the Icicle	100	1	1	15	98	11			0	1	1077	cold-min	0	2	2	cold-max	0	4	5	cold-len	0	25	25			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of the Glacier	100	1	1	25	0	18			0	1	1078	cold-min	0	3	3	cold-max	0	6	8	cold-len	0	25	25	1	dblu	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Winter	100	1	1	35	0	27			0	1	1079	cold-min	0	4	6	cold-max	0	9	12	cold-len	0	25	25	1	dblu	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Frost	100	1	1	14	49	10			0	1	1080	cold-min	0	1	1	cold-max	0	2	2	cold-len	0	25	25			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of the Icicle	100	1	1	21	98	15			0	1	1081	cold-min	0	2	2	cold-max	0	3	4	cold-len	0	25	25			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of the Glacier	100	1	1	33	0	25			0	1	1082	cold-min	0	3	3	cold-max	0	5	6	cold-len	0	25	25	1	dblu	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Winter	100	1	1	46	0	38			0	1	1083	cold-min	0	4	5	cold-max	0	7	9	cold-len	0	25	25	1	dblu	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Warmth	1	1	1	10	0	7			0	1	1084	half-freeze	0	1	1		0	0	0		0	0	0			shld	boot	glov	ring	amul	circ	orb 	    	    	    	0	0	0
of Flame	1	1	1	4	49	3			0	1	1085	fire-min	0	1	1	fire-max	0	2	5		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Fire	1	1	1	15	98	11			0	1	1086	fire-min	0	1	4	fire-max	0	6	11		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Burning	1	1	1	25	0	18			0	1	1087	fire-min	0	5	9	fire-max	0	10	20		0	0	0	1	dred	weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Incineration	100	1	1	43	0	35			0	1	1088	fire-min	0	10	20	fire-max	0	21	75		0	0	0	1	dred	mele	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Flame	100	1	1	40	0	30			0	1	1089	fire-min	0	1	1	fire-max	0	2	6		0	0	0			glov	ring	amul	mboq	mxbq	    	    	    	    	    	0	0	0
of Passion	100	1	1	15	0	11			0	1	1090	fire-min	0	1	3	fire-max	0	6	10		0	0	0	1	dred	jewl	mboq	mxbq	ncha	ocha	kcha	    	    	    	    	0	0	0
of Fire	100	1	1	36	0	28			0	1	1091	fire-min	0	4	10	fire-max	0	11	30		0	0	0	1	dred	jewl	mboq	mxbq	ncha	wcha	rcha	kcha	    	    	    	0	0	0
of Burning	100	1	1	57	0	49			0	1	1092	fire-min	0	11	25	fire-max	0	31	50		0	0	0	1	dred	jewl	mboq	mxbq	ncha	wcha	rcha	kcha	    	    	    	0	0	0
of Flame	100	1	1	3	49	2			0	1	1093	fire-min	0	1	1	fire-max	0	2	2		0	0	0			lcha	qcha	mboq	mxbq	ncha	wcha	rcha	    	    	    	0	0	0
of Fire	100	1	1	8	98	6			0	1	1094	fire-min	0	1	2	fire-max	0	3	3		0	0	0			lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Burning	100	1	1	14	0	10			0	1	1095	fire-min	0	2	3	fire-max	0	4	7		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Incineration	100	1	1	22	0	16			0	1	1096	fire-min	0	4	7	fire-max	0	8	14		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Flame	100	1	1	7	49	5			0	1	1097	fire-min	0	1	1	fire-max	0	2	2		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Fire	100	1	1	14	98	10			0	1	1098	fire-min	0	2	2	fire-max	0	3	5		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Burning	100	1	1	24	0	18			0	1	1099	fire-min	0	3	5	fire-max	0	6	11		0	0	0	1	dred	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Incineration	100	1	1	34	0	26			0	1	1100	fire-min	0	6	10	fire-max	0	12	17		0	0	0	1	dred	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Flame	100	1	1	11	49	8			0	1	1101	fire-min	0	1	1	fire-max	0	2	2		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Fire	100	1	1	20	98	15			0	1	1102	fire-min	0	2	2	fire-max	0	3	4		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Burning	100	1	1	32	0	24			0	1	1103	fire-min	0	3	4	fire-max	0	5	8		0	0	0	1	dred	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Incineration	100	1	1	45	0	37			0	1	1104	fire-min	0	5	7	fire-max	0	9	13		0	0	0	1	dred	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Shock	1	1	1	4	49	3			0	1	1105	ltng-min	0	1	1	ltng-max	0	6	8		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Lightning	1	1	1	15	98	11			0	1	1106	ltng-min	0	1	1	ltng-max	0	9	16		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Thunder	1	1	1	25	0	18			0	1	1107	ltng-min	0	1	1	ltng-max	0	17	40		0	0	0	1	dyel	weap	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Storms	100	1	1	34	0	26			0	1	1108	ltng-min	0	1	6	ltng-max	0	41	120		0	0	0	1	dyel	mele	mboq	mxbq	    	    	    	    	wand	orb 	    	0	0	0
of Shock	100	1	1	50	0	37			0	1	1109	ltng-min	0	1	1	ltng-max	0	11	23		0	0	0			boot	ring	amul	mboq	mxbq	    	    	    	    	    	0	0	0
of Ennui	100	1	1	15	0	11			0	1	1110	ltng-min	0	1	1	ltng-max	0	10	20		0	0	0	1	dyel	jewl	mboq	mxbq	ncha	ocha	kcha	    	    	    	    	0	0	0
of Lightning	100	1	1	36	0	28			0	1	1111	ltng-min	0	1	1	ltng-max	0	21	60		0	0	0	1	dyel	jewl	mboq	mxbq	ncha	wcha	rcha	kcha	    	    	    	0	0	0
of Thunder	100	1	1	57	0	49			0	1	1112	ltng-min	0	1	1	ltng-max	0	61	100		0	0	0	1	dyel	jewl	mboq	mxbq	ncha	wcha	rcha	kcha	    	    	    	0	0	0
of Shock	100	1	1	4	49	3			0	1	1113	ltng-min	0	1	1	ltng-max	0	2	3		0	0	0			lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Lightning	100	1	1	7	98	5			0	1	1114	ltng-min	0	1	1	ltng-max	0	4	7		0	0	0			lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Thunder	100	1	1	15	0	11			0	1	1115	ltng-min	0	1	1	ltng-max	0	8	21		0	0	0	1	dyel	lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Storms	100	1	1	22	0	16			0	1	1116	ltng-min	0	1	1	ltng-max	0	22	33		0	0	0	1	dyel	lcha	qcha	mboq	mxbq	ncha	ocha	wcha	    	    	    	0	0	0
of Shock	100	1	1	7	49	5			0	1	1117	ltng-min	0	1	1	ltng-max	0	3	5		0	0	0			mcha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Lightning	100	1	1	14	98	10			0	1	1118	ltng-min	0	1	1	ltng-max	0	6	13		0	0	0			mcha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Thunder	100	1	1	24	0	18			0	1	1119	ltng-min	0	1	1	ltng-max	0	14	25		0	0	0	1	dyel	mcha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Storms	100	1	1	34	0	26			0	1	1120	ltng-min	0	1	1	ltng-max	0	26	38		0	0	0	1	dyel	mcha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Shock	100	1	1	12	49	9			0	1	1121	ltng-min	0	1	1	ltng-max	0	3	6		0	0	0			scha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Lightning	100	1	1	21	98	15			0	1	1122	ltng-min	0	1	1	ltng-max	0	7	10		0	0	0			scha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Thunder	100	1	1	33	0	25			0	1	1123	ltng-min	0	1	1	ltng-max	0	11	18		0	0	0	1	dyel	scha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Storms	100	1	1	45	0	37			0	1	1124	ltng-min	0	1	1	ltng-max	0	19	28		0	0	0	1	dyel	scha	tcha	mboq	mxbq	hcha	ocha	wcha	    	    	    	0	0	0
of Craftsmanship	1	1	1	1	24	1			0	1	1125	dmg-max	0	1	1		0	0	0		0	0	0			weap	ring	amul	mboq	mxbq	    	    	wand	staf	orb 	0	0	0
of Quality	1	1	1	4	49	3			0	1	1126	dmg-max	0	2	2		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Maiming	1	1	1	7	98	5			0	1	1127	dmg-max	0	3	4		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Slaying	1	1	1	11	0	8			0	1	1128	dmg-max	0	5	7		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Gore	1	1	1	14	0	10			0	1	1129	dmg-max	0	8	10		0	0	0		0	0	0			weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Carnage	1	1	1	19	0	14			0	1	1130	dmg-max	0	11	14		0	0	0		0	0	0	1	blac	weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Slaughter	1	1	1	25	0	18			0	1	1131	dmg-max	0	15	20		0	0	0		0	0	0	1	blac	weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Butchery	100	1	1	35	0	27			0	1	1132	dmg-max	0	21	40		0	0	0		0	0	0	1	blac	weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Evisceration	100	1	1	45	0	37			0	1	1133	dmg-max	0	41	63		0	0	0		0	0	0	1	blac	weap	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Maiming	1	1	1	42	0	34			0	1	1134	dmg-max	0	3	4		0	0	0		0	0	0			shld	ring	amul	mboq	mxbq	    	    	    	    	    	0	0	0
of Craftsmanship	100	1	1	1	24	1			0	1	1135	dmg-max	0	1	2		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Craftsmanship	100	1	1	8	49	6			0	1	1136	dmg-max	0	2	3		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Craftsmanship	100	1	1	15	98	11			0	1	1137	dmg-max	0	4	5		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Quality	100	1	1	23	0	17			0	1	1138	dmg-max	0	6	7		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Quality	100	1	1	30	0	22			0	1	1139	dmg-max	0	7	8		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Maiming	100	1	1	37	0	29			0	1	1140	dmg-max	0	9	10		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Maiming	100	1	1	45	0	37			0	1	1141	dmg-max	0	11	12		0	0	0		0	0	0			circ	mboq	mxbq	    	    	    	    	    	    	    	0	0	0
of Craftsmanship	100	1	1	5	49	4			0	1	1142	dmg-max	0	1	2		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Craftsmanship	100	1	1	15	98	12			0	1	1143	dmg-max	0	3	4		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Quality	100	1	1	25	0	20			0	1	1144	dmg-max	0	5	6		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Quality	100	1	1	35	0	28			0	1	1145	dmg-max	0	7	8		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Maiming	100	1	1	45	0	36			0	1	1146	dmg-max	0	9	10		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Maiming	100	1	1	55	0	44			0	1	1147	dmg-max	0	11	12		0	0	0		0	0	0			lcha	qcha	mboq	mxbq	ocha	wcha	rcha	    	    	    	0	0	0
of Craftsmanship	100	0	1	8	49	6			0	1	1148	dmg-max	0	1	1		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Craftsmanship	100	0	1	18	98	13			0	1	1149	dmg-max	0	2	2		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Quality	100	0	1	28	0	21			0	1	1150	dmg-max	0	3	4		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Quality	100	0	1	38	0	30			0	1	1151	dmg-max	0	5	6		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Maiming	100	0	1	48	0	40			0	1	1152	dmg-max	0	7	8		0	0	0		0	0	0			mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Craftsmanship	100	0	1	21	0	15			0	1	1153	dmg-max	0	1	1		0	0	0		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Quality	100	0	1	36	0	28			0	1	1154	dmg-max	0	2	2		0	0	0		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
of Maiming	100	0	1	51	0	43			0	1	1155	dmg-max	0	3	4		0	0	0		0	0	0			scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	0	0	0
