Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DMG	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
17	289	867	3468	289	867	3468	289	867	3468	289	867	3468	289	578	1734	289	578	1734	31	62	186	31	62	186	80	160	480	80	160	480
18	324	972	3888	324	972	3888	324	972	3888	324	972	3888	324	648	1944	324	648	1944	34	68	204	34	68	204	85	170	510	85	170	510
19	361	1083	4332	361	1083	4332	361	1083	4332	361	1083	4332	361	722	2166	361	722	2166	38	76	228	38	76	228	90	180	540	90	180	540
20	400	1200	4800	400	1200	4800	400	1200	4800	400	1200	4800	400	800	2400	400	800	2400	42	84	252	42	84	252	96	192	576	96	192	576
21	441	1323	5292	441	1323	5292	441	1323	5292	441	1323	5292	441	882	2646	441	882	2646	46	92	276	46	92	276	102	204	612	102	204	612
22	484	1452	5808	484	1452	5808	484	1452	5808	484	1452	5808	484	968	2904	484	968	2904	50	100	300	50	100	300	108	216	648	108	216	648
23	529	1587	6348	529	1587	6348	529	1587	6348	529	1587	6348	529	1058	3174	529	1058	3174	55	110	330	55	110	330	114	228	684	114	228	684
24	576	1728	6912	576	1728	6912	576	1728	6912	576	1728	6912	576	1152	3456	576	1152	3456	60	120	360	60	120	360	120	240	720	120	240	720
25	625	1875	7500	625	1875	7500	625	1875	7500	625	1875	7500	625	1250	3750	625	1250	3750	65	130	390	65	130	390	126	252	756	126	252	756
26	676	2028	8112	676	2028	8112	676	2028	8112	676	2028	8112	676	1352	4056	676	1352	4056	70	140	420	70	140	420	132	264	792	132	264	792
27	729	2187	8748	729	2187	8748	729	2187	8748	729	2187	8748	729	1458	4374	729	1458	4374	75	150	450	75	150	450	138	276	828	138	276	828
28	784	2352	9408	784	2352	9408	784	2352	9408	784	2352	9408	784	1568	4704	784	1568	4704	80	160	480	80	160	480	144	288	864	144	288	864
29	841	2523	10092	841	2523	10092	841	2523	10092	841	2523	10092	841	1682	5046	841	1682	5046	86	172	516	86	172	516	150	300	900	150	300	900
30	900	2700	10800	900	2700	10800	900	2700	10800	900	2700	10800	900	1800	5400	900	1800	5400	92	184	552	92	184	552	157	314	942	157	314	942
31	961	2883	11532	961	2883	11532	961	2883	11532	961	2883	11532	961	1922	5766	961	1922	5766	98	196	588	98	196	588	164	328	984	164	328	984
32	1024	3072	12288	1024	3072	12288	1024	3072	12288	1024	3072	12288	1024	2048	6144	1024	2048	6144	104	208	624	104	208	624	171	342	1026	171	342	1026
33	1089	3267	13068	1089	3267	13068	1089	3267	13068	1089	3267	13068	1089	2178	6534	1089	2178	6534	111	222	666	111	222	666	178	356	1068	178	356	1068
34	1156	3468	13872	1156	3468	13872	1156	3468	13872	1156	3468	13872	1156	2312	6936	1156	2312	6936	118	236	708	118	236	708	185	370	1110	185	370	1110
35	1225	3675	14700	1225	3675	14700	1225	3675	14700	1225	3675	14700	1225	2450	7350	1225	2450	7350	125	250	750	125	250	750	192	384	1152	192	384	1152
36	1296	3888	15552	1296	3888	15552	1296	3888	15552	1296	3888	15552	1296	2592	7776	1296	2592	7776	132	264	792	132	264	792	199	398	1194	199	398	1194
37	1369	4107	16428	1369	4107	16428	1369	4107	16428	1369	4107	16428	1369	2738	8214	1369	2738	8214	139	278	834	139	278	834	206	412	1236	206	412	1236
38	1444	4332	17328	1444	4332	17328	1444	4332	17328	1444	4332	17328	1444	2888	8664	1444	2888	8664	146	292	876	146	292	876	213	426	1278	213	426	1278
39	1521	4563	18252	1521	4563	18252	1521	4563	18252	1521	4563	18252	1521	3042	9126	1521	3042	9126	154	308	924	154	308	924	220	440	1320	220	440	1320
40	1600	4800	19200	1600	4800	19200	1600	4800	19200	1600	4800	19200	1600	3200	9600	1600	3200	9600	162	324	972	162	324	972	228	456	1368	228	456	1368
41	1681	5043	20172	1681	5043	20172	1681	5043	20172	1681	5043	20172	1681	3362	10086	1681	3362	10086	170	340	1020	170	340	1020	236	472	1416	236	472	1416
42	1764	5292	21168	1764	5292	21168	1764	5292	21168	1764	5292	21168	1764	3528	10584	1764	3528	10584	178	356	1068	178	356	1068	244	488	1464	244	488	1464
43	1849	5547	22188	1849	5547	22188	1849	5547	22188	1849	5547	22188	1849	3698	11094	1849	3698	11094	187	374	1122	187	374	1122	252	504	1512	252	504	1512
44	1936	5808	23232	1936	5808	23232	1936	5808	23232	1936	5808	23232	1936	3872	11616	1936	3872	11616	196	392	1176	196	392	1176	260	520	1560	260	520	1560
45	2025	6075	24300	2025	6075	24300	2025	6075	24300	2025	6075	24300	2025	4050	12150	2025	4050	12150	205	410	1230	205	410	1230	269	538	1614	269	538	1614
46	2116	6348	25392	2116	6348	25392	2116	6348	25392	2116	6348	25392	2116	4232	12696	2116	4232	12696	214	428	1284	214	428	1284	278	556	1668	278	556	1668
47	2209	6627	26508	2209	6627	26508	2209	6627	26508	2209	6627	26508	2209	4418	13254	2209	4418	13254	223	446	1338	223	446	1338	287	574	1722	287	574	1722
48	2304	6912	27648	2304	6912	27648	2304	6912	27648	2304	6912	27648	2304	4608	13824	2304	4608	13824	232	464	1392	232	464	1392	296	592	1776	296	592	1776
49	2401	7203	28812	2401	7203	28812	2401	7203	28812	2401	7203	28812	2401	4802	14406	2401	4802	14406	242	484	1452	242	484	1452	305	610	1830	305	610	1830
50	2500	7500	30000	2500	7500	30000	2500	7500	30000	2500	7500	30000	2500	5000	15000	2500	5000	15000	252	504	1512	252	504	1512	315	630	1890	315	630	1890
51	2601	7803	31212	2601	7803	31212	2601	7803	31212	2601	7803	31212	2601	5202	15606	2601	5202	15606	262	524	1572	262	524	1572	325	650	1950	325	650	1950
52	2704	8112	32448	2704	8112	32448	2704	8112	32448	2704	8112	32448	2704	5408	16224	2704	5408	16224	272	544	1632	272	544	1632	335	670	2010	335	670	2010
53	2809	8427	33708	2809	8427	33708	2809	8427	33708	2809	8427	33708	2809	5618	16854	2809	5618	16854	283	566	1698	283	566	1698	345	690	2070	345	690	2070
54	2916	8748	34992	2916	8748	34992	2916	8748	34992	2916	8748	34992	2916	5832	17496	2916	5832	17496	294	588	1764	294	588	1764	355	710	2130	355	710	2130
55	3025	9075	36300	3025	9075	36300	3025	9075	36300	3025	9075	36300	3025	6050	18150	3025	6050	18150	305	610	1830	305	610	1830	366	732	2196	366	732	2196
56	3136	9408	37632	3136	9408	37632	3136	9408	37632	3136	9408	37632	3136	6272	18816	3136	6272	18816	316	632	1896	316	632	1896	377	754	2262	377	754	2262
57	3249	9747	38988	3249	9747	38988	3249	9747	38988	3249	9747	38988	3249	6498	19494	3249	6498	19494	327	654	1962	327	654	1962	388	776	2328	388	776	2328
58	3364	10092	40368	3364	10092	40368	3364	10092	40368	3364	10092	40368	3364	6728	20184	3364	6728	20184	338	676	2028	338	676	2028	399	798	2394	399	798	2394
59	3481	10443	41772	3481	10443	41772	3481	10443	41772	3481	10443	41772	3481	6962	20886	3481	6962	20886	350	700	2100	350	700	2100	410	820	2460	410	820	2460
60	3600	10800	43200	3600	10800	43200	3600	10800	43200	3600	10800	43200	3600	7200	21600	3600	7200	21600	362	724	2172	362	724	2172	422	844	2532	422	844	2532
61	3721	11163	44652	3721	11163	44652	3721	11163	44652	3721	11163	44652	3721	7442	22326	3721	7442	22326	374	748	2244	374	748	2244	434	868	2604	434	868	2604
62	3844	11532	46128	3844	11532	46128	3844	11532	46128	3844	11532	46128	3844	7688	23064	3844	7688	23064	386	772	2316	386	772	2316	446	892	2676	446	892	2676
63	3969	11907	47628	3969	11907	47628	3969	11907	47628	3969	11907	47628	3969	7938	23814	3969	7938	23814	399	798	2394	399	798	2394	458	916	2748	458	916	2748
64	4096	12288	49152	4096	12288	49152	4096	12288	49152	4096	12288	49152	4096	8192	24576	4096	8192	24576	412	824	2472	412	824	2472	470	940	2820	470	940	2820
65	4225	12675	50700	4225	12675	50700	4225	12675	50700	4225	12675	50700	4225	8450	25350	4225	8450	25350	425	850	2550	425	850	2550	483	966	2898	483	966	2898
66	4356	13068	52272	4356	13068	52272	4356	13068	52272	4356	13068	52272	4356	8712	26136	4356	8712	26136	438	876	2628	438	876	2628	496	992	2976	496	992	2976
67	4489	13467	53868	4489	13467	53868	4489	13467	53868	4489	13467	53868	4489	8978	26934	4489	8978	26934	451	902	2706	451	902	2706	509	1018	3054	509	1018	3054
68	4624	13872	55488	4624	13872	55488	4624	13872	55488	4624	13872	55488	4624	9248	27744	4624	9248	27744	464	928	2784	464	928	2784	522	1044	3132	522	1044	3132
69	4761	14283	57132	4761	14283	57132	4761	14283	57132	4761	14283	57132	4761	9522	28566	4761	9522	28566	478	956	2868	478	956	2868	535	1070	3210	535	1070	3210
70	4900	14700	58800	4900	14700	58800	4900	14700	58800	4900	14700	58800	4900	9800	29400	4900	9800	29400	492	984	2952	492	984	2952	549	1098	3294	549	1098	3294
71	5041	15123	60492	5041	15123	60492	5041	15123	60492	5041	15123	60492	5041	10082	30246	5041	10082	30246	506	1012	3036	506	1012	3036	563	1126	3378	563	1126	3378
72	5184	15552	62208	5184	15552	62208	5184	15552	62208	5184	15552	62208	5184	10368	31104	5184	10368	31104	520	1040	3120	520	1040	3120	577	1154	3462	577	1154	3462
73	5329	15987	63948	5329	15987	63948	5329	15987	63948	5329	15987	63948	5329	10658	31974	5329	10658	31974	535	1070	3210	535	1070	3210	591	1182	3546	591	1182	3546
74	5476	16428	65712	5476	16428	65712	5476	16428	65712	5476	16428	65712	5476	10952	32856	5476	10952	32856	550	1100	3300	550	1100	3300	605	1210	3630	605	1210	3630
75	5625	16875	67500	5625	16875	67500	5625	16875	67500	5625	16875	67500	5625	11250	33750	5625	11250	33750	565	1130	3390	565	1130	3390	620	1240	3720	620	1240	3720
76	5776	17328	69312	5776	17328	69312	5776	17328	69312	5776	17328	69312	5776	11552	34656	5776	11552	34656	580	1160	3480	580	1160	3480	635	1270	3810	635	1270	3810
77	5929	17787	71148	5929	17787	71148	5929	17787	71148	5929	17787	71148	5929	11858	35574	5929	11858	35574	595	1190	3570	595	1190	3570	650	1300	3900	650	1300	3900
78	6084	18252	73008	6084	18252	73008	6084	18252	73008	6084	18252	73008	6084	12168	36504	6084	12168	36504	610	1220	3660	610	1220	3660	665	1330	3990	665	1330	3990
79	6241	18723	74892	6241	18723	74892	6241	18723	74892	6241	18723	74892	6241	12482	37446	6241	12482	37446	626	1252	3756	626	1252	3756	680	1360	4080	680	1360	4080
80	6400	19200	76800	6400	19200	76800	6400	19200	76800	6400	19200	76800	6400	12800	38400	6400	12800	38400	642	1284	3852	642	1284	3852	696	1392	4176	696	1392	4176
81	6561	19683	78732	6561	19683	78732	6561	19683	78732	6561	19683	78732	6561	13122	39366	6561	13122	39366	658	1316	3948	658	1316	3948	712	1424	4272	712	1424	4272
82	6724	20172	80688	6724	20172	80688	6724	20172	80688	6724	20172	80688	6724	13448	40344	6724	13448	40344	674	1348	4044	674	1348	4044	728	1456	4368	728	1456	4368
83	6889	20667	82668	6889	20667	82668	6889	20667	82668	6889	20667	82668	6889	13778	41334	6889	13778	41334	691	1382	4146	691	1382	4146	744	1488	4464	744	1488	4464
84	7056	21168	84672	7056	21168	84672	7056	21168	84672	7056	21168	84672	7056	14112	42336	7056	14112	42336	708	1416	4248	708	1416	4248	760	1520	4560	760	1520	4560
85	7225	21675	86700	7225	21675	86700	7225	21675	86700	7225	21675	86700	7225	14450	43350	7225	14450	43350	725	1450	4350	725	1450	4350	777	1554	4662	777	1554	4662
86	7396	22188	88752	7396	22188	88752	7396	22188	88752	7396	22188	88752	7396	14792	44376	7396	14792	44376	742	1484	4452	742	1484	4452	794	1588	4764	794	1588	4764
87	7569	22707	90828	7569	22707	90828	7569	22707	90828	7569	22707	90828	7569	15138	45414	7569	15138	45414	759	1518	4554	759	1518	4554	811	1622	4866	811	1622	4866
88	7744	23232	92928	7744	23232	92928	7744	23232	92928	7744	23232	92928	7744	15488	46464	7744	15488	46464	776	1552	4656	776	1552	4656	828	1656	4968	828	1656	4968
89	7921	23763	95052	7921	23763	95052	7921	23763	95052	7921	23763	95052	7921	15842	47526	7921	15842	47526	794	1588	4764	794	1588	4764	845	1690	5070	845	1690	5070
90	8100	24300	97200	8100	24300	97200	8100	24300	97200	8100	24300	97200	8100	16200	48600	8100	16200	48600	812	1624	4872	812	1624	4872	863	1726	5178	863	1726	5178
91	8281	24843	99372	8281	24843	99372	8281	24843	99372	8281	24843	99372	8281	16562	49686	8281	16562	49686	830	1660	4980	830	1660	4980	881	1762	5286	881	1762	5286
92	8464	25392	101568	8464	25392	101568	8464	25392	101568	8464	25392	101568	8464	16928	50784	8464	16928	50784	848	1696	5088	848	1696	5088	899	1798	5394	899	1798	5394
93	8649	25947	103788	8649	25947	103788	8649	25947	103788	8649	25947	103788	8649	17298	51894	8649	17298	51894	867	1734	5202	867	1734	5202	917	1834	5502	917	1834	5502
94	8836	26508	106032	8836	26508	106032	8836	26508	106032	8836	26508	106032	8836	17672	53016	8836	17672	53016	886	1772	5316	886	1772	5316	935	1870	5610	935	1870	5610
95	9025	27075	108300	9025	27075	108300	9025	27075	108300	9025	27075	108300	9025	18050	54150	9025	18050	54150	905	1810	5430	905	1810	5430	954	1908	5724	954	1908	5724
96	9216	27648	110592	9216	27648	110592	9216	27648	110592	9216	27648	110592	9216	18432	55296	9216	18432	55296	924	1848	5544	924	1848	5544	973	1946	5838	973	1946	5838
97	9409	28227	112908	9409	28227	112908	9409	28227	112908	9409	28227	112908	9409	18818	56454	9409	18818	56454	943	1886	5658	943	1886	5658	992	1984	5952	992	1984	5952
98	9604	28812	115248	9604	28812	115248	9604	28812	115248	9604	28812	115248	9604	19208	57624	9604	19208	57624	962	1924	5772	962	1924	5772	1011	2022	6066	1011	2022	6066
99	9801	29403	117612	9801	29403	117612	9801	29403	117612	9801	29403	117612	9801	19602	58806	9801	19602	58806	982	1964	5892	982	1964	5892	1030	2060	6180	1030	2060	6180
100	10000	30000	120000	10000	30000	120000	10000	30000	120000	10000	30000	120000	10000	20000	60000	10000	20000	60000	1002	2004	6012	1002	2004	6012	1050	2100	6300	1050	2100	6300
101	10201	30603	122412	10201	30603	122412	10201	30603	122412	10201	30603	122412	10201	20402	61206	10201	20402	61206	1022	2044	6132	1022	2044	6132	1070	2140	6420	1070	2140	6420
102	10404	31212	124848	10404	31212	124848	10404	31212	124848	10404	31212	124848	10404	20808	62424	10404	20808	62424	1042	2084	6252	1042	2084	6252	1090	2180	6540	1090	2180	6540
103	10609	31827	127308	10609	31827	127308	10609	31827	127308	10609	31827	127308	10609	21218	63654	10609	21218	63654	1063	2126	6378	1063	2126	6378	1110	2220	6660	1110	2220	6660
104	10816	32448	129792	10816	32448	129792	10816	32448	129792	10816	32448	129792	10816	21632	64896	10816	21632	64896	1084	2168	6504	1084	2168	6504	1130	2260	6780	1130	2260	6780
105	11025	33075	132300	11025	33075	132300	11025	33075	132300	11025	33075	132300	11025	22050	66150	11025	22050	66150	1105	2210	6630	1105	2210	6630	1151	2302	6906	1151	2302	6906
106	11236	33708	134832	11236	33708	134832	11236	33708	134832	11236	33708	134832	11236	22472	67416	11236	22472	67416	1126	2252	6756	1126	2252	6756	1172	2344	7032	1172	2344	7032
107	11449	34347	137388	11449	34347	137388	11449	34347	137388	11449	34347	137388	11449	22898	68694	11449	22898	68694	1147	2294	6882	1147	2294	6882	1193	2386	7158	1193	2386	7158
108	11664	34992	139968	11664	34992	139968	11664	34992	139968	11664	34992	139968	11664	23328	69984	11664	23328	69984	1168	2336	7008	1168	2336	7008	1214	2428	7284	1214	2428	7284
109	11881	35643	142572	11881	35643	142572	11881	35643	142572	11881	35643	142572	11881	23762	71286	11881	23762	71286	1190	2380	7140	1190	2380	7140	1235	2470	7410	1235	2470	7410
110	12100	36300	145200	12100	36300	145200	12100	36300	145200	12100	36300	145200	12100	24200	72600	12100	24200	72600	1212	2424	7272	1212	2424	7272	1257	2514	7542	1257	2514	7542
111	12321	36963	147852	12321	36963	147852	12321	36963	147852	12321	36963	147852	12321	24642	73926	12321	24642	73926	1234	2468	7404	1234	2468	7404	1279	2558	7674	1279	2558	7674
112	12544	37632	150528	12544	37632	150528	12544	37632	150528	12544	37632	150528	12544	25088	75264	12544	25088	75264	1256	2512	7536	1256	2512	7536	1301	2602	7806	1301	2602	7806
113	12769	38307	153228	12769	38307	153228	12769	38307	153228	12769	38307	153228	12769	25538	76614	12769	25538	76614	1279	2558	7674	1279	2558	7674	1323	2646	7938	1323	2646	7938
114	12996	38988	155952	12996	38988	155952	12996	38988	155952	12996	38988	155952	12996	25992	77976	12996	25992	77976	1302	2604	7812	1302	2604	7812	1345	2690	8070	1345	2690	8070
115	13225	39675	158700	13225	39675	158700	13225	39675	158700	13225	39675	158700	13225	26450	79350	13225	26450	79350	1325	2650	7950	1325	2650	7950	1368	2736	8208	1368	2736	8208
116	13456	40368	161472	13456	40368	161472	13456	40368	161472	13456	40368	161472	13456	26912	80736	13456	26912	80736	1348	2696	8088	1348	2696	8088	1391	2782	8346	1391	2782	8346
117	13689	41067	164268	13689	41067	164268	13689	41067	164268	13689	41067	164268	13689	27378	82134	13689	27378	82134	1371	2742	8226	1371	2742	8226	1414	2828	8484	1414	2828	8484
118	13924	41772	167088	13924	41772	167088	13924	41772	167088	13924	41772	167088	13924	27848	83544	13924	27848	83544	1394	2788	8364	1394	2788	8364	1437	2874	8622	1437	2874	8622
119	14161	42483	169932	14161	42483	169932	14161	42483	169932	14161	42483	169932	14161	28322	84966	14161	28322	84966	1418	2836	8508	1418	2836	8508	1460	2920	8760	1460	2920	8760
120	14400	43200	172800	14400	43200	172800	14400	43200	172800	14400	43200	172800	14400	28800	86400	14400	28800	86400	1442	2884	8652	1442	2884	8652	1484	2968	8904	1484	2968	8904
121	14641	43923	175692	14641	43923	175692	14641	43923	175692	14641	43923	175692	14641	29282	87846	14641	29282	87846	1466	2932	8796	1466	2932	8796	1508	3016	9048	1508	3016	9048
122	14884	44652	178608	14884	44652	178608	14884	44652	178608	14884	44652	178608	14884	29768	89304	14884	29768	89304	1490	2980	8940	1490	2980	8940	1532	3064	9192	1532	3064	9192
123	15129	45387	181548	15129	45387	181548	15129	45387	181548	15129	45387	181548	15129	30258	90774	15129	30258	90774	1515	3030	9090	1515	3030	9090	1556	3112	9336	1556	3112	9336
124	15376	46128	184512	15376	46128	184512	15376	46128	184512	15376	46128	184512	15376	30752	92256	15376	30752	92256	1540	3080	9240	1540	3080	9240	1580	3160	9480	1580	3160	9480
125	15625	46875	187500	15625	46875	187500	15625	46875	187500	15625	46875	187500	15625	31250	93750	15625	31250	93750	1565	3130	9390	1565	3130	9390	1605	3210	9630	1605	3210	9630
126	15876	47628	190512	15876	47628	190512	15876	47628	190512	15876	47628	190512	15876	31752	95256	15876	31752	95256	1590	3180	9540	1590	3180	9540	1630	3260	9780	1630	3260	9780
127	16129	48387	193548	16129	48387	193548	16129	48387	193548	16129	48387	193548	16129	32258	96774	16129	32258	96774	1615	3230	9690	1615	3230	9690	1655	3310	9930	1655	3310	9930
128	16384	49152	196608	16384	49152	196608	16384	49152	196608	16384	49152	196608	16384	32768	98304	16384	32768	98304	1640	3280	9840	1640	3280	9840	1680	3360	10080	1680	3360	10080
129	16641	49923	199692	16641	49923	199692	16641	49923	199692	16641	49923	199692	16641	33282	99846	16641	33282	99846	1666	3332	9996	1666	3332	9996	1705	3410	10230	1705	3410	10230
130	16900	50700	202800	16900	50700	202800	16900	50700	202800	16900	50700	202800	16900	33800	101400	16900	33800	101400	1692	3384	10152	1692	3384	10152	1731	3462	10386	1731	3462	10386
131	17161	51483	205932	17161	51483	205932	17161	51483	205932	17161	51483	205932	17161	34322	102966	17161	34322	102966	1718	3436	10308	1718	3436	10308	1757	3514	10542	1757	3514	10542
132	17424	52272	209088	17424	52272	209088	17424	52272	209088	17424	52272	209088	17424	34848	104544	17424	34848	104544	1744	3488	10464	1744	3488	10464	1783	3566	10698	1783	3566	10698
133	17689	53067	212268	17689	53067	212268	17689	53067	212268	17689	53067	212268	17689	35378	106134	17689	35378	106134	1771	3542	10626	1771	3542	10626	1809	3618	10854	1809	3618	10854
134	17956	53868	215472	17956	53868	215472	17956	53868	215472	17956	53868	215472	17956	35912	107736	17956	35912	107736	1798	3596	10788	1798	3596	10788	1835	3670	11010	1835	3670	11010
135	18225	54675	218700	18225	54675	218700	18225	54675	218700	18225	54675	218700	18225	36450	109350	18225	36450	109350	1825	3650	10950	1825	3650	10950	1862	3724	11172	1862	3724	11172
136	18496	55488	221952	18496	55488	221952	18496	55488	221952	18496	55488	221952	18496	36992	110976	18496	36992	110976	1852	3704	11112	1852	3704	11112	1889	3778	11334	1889	3778	11334
137	18769	56307	225228	18769	56307	225228	18769	56307	225228	18769	56307	225228	18769	37538	112614	18769	37538	112614	1879	3758	11274	1879	3758	11274	1916	3832	11496	1916	3832	11496
138	19044	57132	228528	19044	57132	228528	19044	57132	228528	19044	57132	228528	19044	38088	114264	19044	38088	114264	1906	3812	11436	1906	3812	11436	1943	3886	11658	1943	3886	11658
139	19321	57963	231852	19321	57963	231852	19321	57963	231852	19321	57963	231852	19321	38642	115926	19321	38642	115926	1934	3868	11604	1934	3868	11604	1970	3940	11820	1970	3940	11820
140	19600	58800	235200	19600	58800	235200	19600	58800	235200	19600	58800	235200	19600	39200	117600	19600	39200	117600	1962	3924	11772	1962	3924	11772	1998	3996	11988	1998	3996	11988
141	19881	59643	238572	19881	59643	238572	19881	59643	238572	19881	59643	238572	19881	39762	119286	19881	39762	119286	1990	3980	11940	1990	3980	11940	2026	4052	12156	2026	4052	12156
142	20164	60492	241968	20164	60492	241968	20164	60492	241968	20164	60492	241968	20164	40328	120984	20164	40328	120984	2018	4036	12108	2018	4036	12108	2054	4108	12324	2054	4108	12324
143	20449	61347	245388	20449	61347	245388	20449	61347	245388	20449	61347	245388	20449	40898	122694	20449	40898	122694	2047	4094	12282	2047	4094	12282	2082	4164	12492	2082	4164	12492
144	20736	62208	248832	20736	62208	248832	20736	62208	248832	20736	62208	248832	20736	41472	124416	20736	41472	124416	2076	4152	12456	2076	4152	12456	2110	4220	12660	2110	4220	12660
145	21025	63075	252300	21025	63075	252300	21025	63075	252300	21025	63075	252300	21025	42050	126150	21025	42050	126150	2105	4210	12630	2105	4210	12630	2139	4278	12834	2139	4278	12834
146	21316	63948	255792	21316	63948	255792	21316	63948	255792	21316	63948	255792	21316	42632	127896	21316	42632	127896	2134	4268	12804	2134	4268	12804	2168	4336	13008	2168	4336	13008
147	21609	64827	259308	21609	64827	259308	21609	64827	259308	21609	64827	259308	21609	43218	129654	21609	43218	129654	2163	4326	12978	2163	4326	12978	2197	4394	13182	2197	4394	13182
148	21904	65712	262848	21904	65712	262848	21904	65712	262848	21904	65712	262848	21904	43808	131424	21904	43808	131424	2192	4384	13152	2192	4384	13152	2226	4452	13356	2226	4452	13356
149	22201	66603	266412	22201	66603	266412	22201	66603	266412	22201	66603	266412	22201	44402	133206	22201	44402	133206	2222	4444	13332	2222	4444	13332	2255	4510	13530	2255	4510	13530
150	22500	67500	270000	22500	67500	270000	22500	67500	270000	22500	67500	270000	22500	45000	135000	22500	45000	135000	2252	4504	13512	2252	4504	13512	2285	4570	13710	2285	4570	13710
151	22801	68403	273612	22801	68403	273612	22801	68403	273612	22801	68403	273612	22801	45602	136806	22801	45602	136806	2282	4564	13692	2282	4564	13692	2315	4630	13890	2315	4630	13890
152	23104	69312	277248	23104	69312	277248	23104	69312	277248	23104	69312	277248	23104	46208	138624	23104	46208	138624	2312	4624	13872	2312	4624	13872	2345	4690	14070	2345	4690	14070
153	23409	70227	280908	23409	70227	280908	23409	70227	280908	23409	70227	280908	23409	46818	140454	23409	46818	140454	2343	4686	14058	2343	4686	14058	2375	4750	14250	2375	4750	14250
154	23716	71148	284592	23716	71148	284592	23716	71148	284592	23716	71148	284592	23716	47432	142296	23716	47432	142296	2374	4748	14244	2374	4748	14244	2405	4810	14430	2405	4810	14430
155	24025	72075	288300	24025	72075	288300	24025	72075	288300	24025	72075	288300	24025	48050	144150	24025	48050	144150	2405	4810	14430	2405	4810	14430	2436	4872	14616	2436	4872	14616
156	24336	73008	292032	24336	73008	292032	24336	73008	292032	24336	73008	292032	24336	48672	146016	24336	48672	146016	2436	4872	14616	2436	4872	14616	2467	4934	14802	2467	4934	14802
157	24649	73947	295788	24649	73947	295788	24649	73947	295788	24649	73947	295788	24649	49298	147894	24649	49298	147894	2467	4934	14802	2467	4934	14802	2498	4996	14988	2498	4996	14988
158	24964	74892	299568	24964	74892	299568	24964	74892	299568	24964	74892	299568	24964	49928	149784	24964	49928	149784	2498	4996	14988	2498	4996	14988	2529	5058	15174	2529	5058	15174
159	25281	75843	303372	25281	75843	303372	25281	75843	303372	25281	75843	303372	25281	50562	151686	25281	50562	151686	2530	5060	15180	2530	5060	15180	2560	5120	15360	2560	5120	15360
160	25600	76800	307200	25600	76800	307200	25600	76800	307200	25600	76800	307200	25600	51200	153600	25600	51200	153600	2562	5124	15372	2562	5124	15372	2592	5184	15552	2592	5184	15552
